"SHARKID","DATE","SIGHTING","SPECIES_SCIENTIFIC","SPECIES_COMMON","DAY","MONTH","YEAR","OWNER","DATATYPE","LATITUDE","LONGITUDE"
2009052303,2011-09-17,1,"CARCHARODON CARCHARIAS","WHITE SHARK","17","09","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052304,2009-05-23,1,"CARCHARODON CARCHARIAS","WHITE SHARK","23","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052304,2009-05-25,1,"CARCHARODON CARCHARIAS","WHITE SHARK","25","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052304,2010-03-07,1,"CARCHARODON CARCHARIAS","WHITE SHARK","07","03","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052304,2010-04-06,1,"CARCHARODON CARCHARIAS","WHITE SHARK","06","04","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052304,2010-04-23,1,"CARCHARODON CARCHARIAS","WHITE SHARK","23","04","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052304,2010-04-24,1,"CARCHARODON CARCHARIAS","WHITE SHARK","24","04","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052304,2010-04-26,1,"CARCHARODON CARCHARIAS","WHITE SHARK","26","04","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052304,2010-06-22,1,"CARCHARODON CARCHARIAS","WHITE SHARK","22","06","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052402,2009-05-24,1,"CARCHARODON CARCHARIAS","WHITE SHARK","24","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052402,2011-05-13,1,"CARCHARODON CARCHARIAS","WHITE SHARK","13","05","2011","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052403,2009-05-24,1,"CARCHARODON CARCHARIAS","WHITE SHARK","24","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009052602,2009-05-26,1,"CARCHARODON CARCHARIAS","WHITE SHARK","26","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
